p_zendar|禅 达 
p_sea_raider_spawn_point_1|海 岸 1
p_sea_raider_spawn_point_2|海 岸 2
p_sea_raider_spawn_point_3|海 岸 3
p_sea_raider_spawn_point_4|海 岸 4
p_sea_raider_spawn_point_5|海 岸 5
p_sea_raider_spawn_point_6|海 岸 6
p_sea_raider_spawn_point_7|海 岸 7
p_sea_raider_spawn_point_8|海 岸 8
p_sea_raider_spawn_point_9|海 岸 9
p_sea_raider_spawn_point_10|海 岸 10
p_sea_raider_spawn_point_11|海 岸 11
p_sea_raider_spawn_point_12|海 岸 12
p_sea_raider_spawn_point_13|海 岸 13
p_sea_raider_spawn_point_14|海 岸 14
p_sea_raider_spawn_point_15|海 岸 15
p_sea_raider_spawn_point_16|海 岸 16
p_sea_raider_spawn_point_17|海 岸 17
p_desert_bandit_spawn_point_1|沙 漠 1
p_desert_bandit_spawn_point_2|沙 漠 2
p_desert_bandit_spawn_point_3|沙 漠 3
p_desert_bandit_spawn_point_4|沙 漠 4
p_desert_bandit_spawn_point_5|沙 漠 5
p_pagan_stronghold|普 鲁 士 要 塞 
